Tipo_Material,Proveedor,Region_Entrega,Cantidad_Unidades,Dias_Entrega,Costo_Unitario,Peso_Kg,Año
Acero,Proveedor A,Norte,4674.0,20.0,500.6,475.11,
Adoquín,Proveedor D,Norte,4837.0,15.0,357.71,650.75,2015.0
Pintura,Proveedor B,Centro,9316.0,11.0,369.2,263.54,2015.0
Grava,Proveedor D,Norte,,5.0,305.64,613.78,2015.0
Cemento,Proveedor D,Oeste,3086.0,5.0,202.77,763.31,2015.0
Acero,Proveedor A,Oeste,8835.0,28.0,173.73,414.44,
Arena,Proveedor B,Sur,8947.0,22.0,189.14,215.85,2015.0
Acero,Proveedor B,Sur,9555.0,16.0,,911.02,2015.0
Adoquín,Proveedor C,Norte,6631.0,14.0,54.99,760.9,2015.0
Grava,Proveedor D,Norte,1201.0,11.0,148.85,541.76,2015.0
Adoquín,Proveedor D,Centro,9161.0,4.0,397.9,669.0,2015.0
Pintura,Proveedor C,Norte,3399.0,26.0,380.03,905.12,2015.0
Cemento,Proveedor E,Norte,1925.0,27.0,356.37,57.79,2015.0
Cemento,Proveedor B,Este,5336.0,,331.15,219.43,2015.0
Arena,Proveedor E,Este,3213.0,17.0,443.55,327.5,2015.0
Arena,Proveedor D,Este,4444.0,23.0,54.59,741.13,2015.0
Arena,Proveedor C,Sur,5625.0,4.0,183.68,860.77,2015.0
Teja,Proveedor B,Centro,8381.0,,476.07,473.4,2015.0
Madera,Proveedor C,Oeste,7745.0,14.0,220.93,39.86,2015.0
Madera,Proveedor C,Oeste,4081.0,1.0,99.43,158.31,2015.0
Teja,Proveedor D,Oeste,3581.0,26.0,85.57,388.23,2016.0
Pintura,Proveedor E,Centro,6537.0,25.0,268.54,549.53,2016.0
Arena,Proveedor A,Centro,7874.0,7.0,317.04,280.45,2016.0
Acero,Proveedor A,Sur,1939.0,4.0,228.82,140.63,2016.0
Cemento,Proveedor B,Norte,9030.0,1.0,366.62,242.2,2016.0
Adoquín,Proveedor B,Oeste,3291.0,16.0,228.16,953.58,2016.0
Acero,Proveedor E,Oeste,7364.0,4.0,372.79,894.47,
Adoquín,Proveedor B,Sur,3672.0,10.0,493.81,854.09,2016.0
Cemento,Proveedor E,Sur,4325.0,16.0,458.29,,2016.0
Cemento,Proveedor A,Este,744.0,4.0,343.16,980.29,2016.0
Ladrillo,Proveedor D,Oeste,6026.0,21.0,141.45,230.52,2016.0
Ladrillo,Proveedor C,Este,9876.0,24.0,336.32,327.26,2016.0
Arena,Proveedor C,Sur,5089.0,,201.83,592.27,2016.0
Adoquín,Proveedor A,Sur,8779.0,15.0,434.78,889.85,2016.0
Grava,Proveedor A,Sur,5843.0,18.0,156.22,931.95,2016.0
Pintura,Proveedor A,Sur,1391.0,16.0,228.83,645.34,2016.0
Cemento,Proveedor A,Este,5593.0,8.0,391.8,420.15,2016.0
Arena,Proveedor A,Oeste,4156.0,4.0,74.05,,2016.0
Madera,Proveedor C,Norte,154.0,21.0,169.69,590.28,2016.0
Acero,Proveedor A,Centro,5101.0,29.0,300.46,133.98,2016.0
Madera,Proveedor C,Norte,7295.0,7.0,150.84,641.4,2017.0
Bloque,Proveedor A,Sur,1076.0,21.0,405.66,476.5,2017.0
Arena,Proveedor A,Norte,,19.0,174.64,,2017.0
Acero,Proveedor E,Oeste,4696.0,7.0,191.24,946.9,2017.0
Acero,Proveedor D,Norte,7575.0,7.0,156.46,364.54,2017.0
Grava,Proveedor E,Sur,3288.0,3.0,,158.03,2017.0
Acero,Proveedor B,Norte,9274.0,3.0,333.46,402.55,2017.0
Acero,Proveedor C,Norte,2788.0,22.0,391.86,798.2,2017.0
Arena,Proveedor A,Sur,5272.0,7.0,366.89,513.6,2017.0
Bloque,Proveedor D,Este,304.0,19.0,266.95,295.71,2017.0
Teja,Proveedor B,Centro,9323.0,12.0,411.52,78.28,2017.0
Acero,Proveedor B,Sur,3643.0,8.0,233.28,834.5,2017.0
Cemento,Proveedor C,Sur,4745.0,28.0,70.03,563.16,2017.0
Teja,Proveedor A,Norte,6141.0,20.0,,775.32,2017.0
Teja,Proveedor A,Oeste,7425.0,20.0,263.05,251.98,2017.0
Madera,Proveedor D,Centro,8565.0,8.0,495.24,418.83,
Adoquín,Proveedor A,Sur,7337.0,5.0,430.15,,2017.0
Ladrillo,Proveedor C,Norte,1877.0,29.0,238.43,632.91,2017.0
Grava,Proveedor E,Centro,695.0,28.0,239.61,676.45,2017.0
Madera,Proveedor D,Norte,1794.0,23.0,302.02,675.39,2017.0
Madera,Proveedor B,Norte,292.0,16.0,34.58,713.81,2018.0
Arena,Proveedor B,Sur,6424.0,4.0,425.55,959.6,2018.0
Bloque,Proveedor A,Este,3850.0,14.0,315.41,494.82,2018.0
Arena,Proveedor E,Norte,,11.0,269.7,87.91,2018.0
Arena,Proveedor C,Sur,9728.0,12.0,312.72,398.59,2018.0
Teja,Proveedor D,Este,5565.0,18.0,86.67,516.63,2018.0
Grava,Proveedor B,Sur,3648.0,,317.11,713.17,2018.0
Cemento,Proveedor D,Centro,3780.0,27.0,63.39,21.48,2018.0
Adoquín,Proveedor C,Norte,4352.0,25.0,455.3,79.17,2018.0
Grava,Proveedor C,Oeste,6289.0,14.0,470.96,19.03,2018.0
Ladrillo,Proveedor D,Oeste,7521.0,15.0,503.25,160.81,2018.0
Teja,Proveedor E,Centro,7152.0,3.0,318.83,836.82,2018.0
Ladrillo,Proveedor A,Centro,7391.0,14.0,249.36,566.48,2018.0
Ladrillo,Proveedor A,Oeste,6378.0,16.0,,613.02,2018.0
Teja,Proveedor C,Este,9414.0,27.0,399.99,694.03,2018.0
Cemento,Proveedor D,Centro,228.0,25.0,400.51,640.56,2018.0
Bloque,Proveedor B,Oeste,6959.0,3.0,341.12,102.84,2018.0
Bloque,Proveedor A,Centro,8549.0,7.0,248.92,75.81,2018.0
Pintura,Proveedor C,Norte,9085.0,27.0,428.64,83.0,2018.0
Teja,Proveedor B,Norte,3536.0,5.0,39.28,836.24,2018.0
Ladrillo,Proveedor C,Norte,619.0,23.0,489.38,833.47,2019.0
Cemento,Proveedor E,Este,7417.0,19.0,371.36,156.59,2019.0
Adoquín,Proveedor E,Centro,120.0,5.0,,804.14,2019.0
Acero,Proveedor E,Centro,7242.0,19.0,101.94,,2019.0
Ladrillo,Proveedor C,Norte,8857.0,22.0,532.63,619.29,2019.0
Ladrillo,Proveedor B,Este,4891.0,15.0,243.9,400.72,2019.0
Teja,Proveedor D,Oeste,2523.0,7.0,406.16,878.57,2019.0
Arena,Proveedor A,Centro,,29.0,361.71,611.11,2019.0
Acero,Proveedor E,Sur,6471.0,11.0,153.75,366.32,2019.0
Cemento,Proveedor A,Sur,1898.0,19.0,540.18,117.23,
Acero,Proveedor B,Sur,,11.0,550.63,448.77,2019.0
Acero,Proveedor A,Norte,2272.0,7.0,497.9,740.94,2019.0
Teja,Proveedor C,Este,7708.0,10.0,213.37,415.28,2019.0
Grava,Proveedor A,Centro,9902.0,2.0,509.48,142.64,2019.0
Cemento,Proveedor E,Norte,8951.0,,122.03,483.77,2019.0
Madera,Proveedor B,Centro,516.0,5.0,415.02,212.74,2019.0
Madera,Proveedor E,Sur,5212.0,24.0,7.14,521.47,2019.0
Pintura,Proveedor A,Oeste,3098.0,9.0,253.22,114.56,2019.0
Acero,Proveedor A,Este,7173.0,19.0,136.49,664.47,2019.0
Bloque,Proveedor C,Centro,8762.0,27.0,102.7,803.86,2019.0
